date,title,link,content
2023-11-15 04:29:31,"미국 정치도 '강경파 딜레마'…미 하원의장,  민주당과 협조해 예산안 처리 시도",https://n.news.naver.com/mnews/article/055/0001105927?sid=104,
2023-11-14 07:57:09,"장제원 ""알량한 정치생명 연장하려 서울 안 가""↔인요한 ""매 맞을래?""",https://n.news.naver.com/mnews/article/448/0000435996?sid=100,
2023-11-14 17:22:39,"강원선관위, 법인자금으로 정치자금 후원한 법인대표 고발",https://n.news.naver.com/mnews/article/001/0014330488?sid=102,
2023-11-15 14:46:01,인요한과 민주당 제주지사 [기자수첩-정치],https://n.news.naver.com/mnews/article/119/0002769419?sid=100,
2023-11-14 16:57:12,"박정희 전 대통령 탄신 106돌 기념식, 정치권 인사 대거 출동",https://n.news.naver.com/mnews/article/008/0004961626?sid=102,
2023-11-15 17:01:06,"“TV 광고는 중단”...美 정치광고 최대 고객, 온라인에 집중",https://n.news.naver.com/mnews/article/366/0000947885?sid=104,
2023-11-15 00:06:01,기시다가 TV나와 음담패설? 日정치인들 희생양된 ‘가짜동영상’ 파문 [방구석 도쿄통신],https://n.news.naver.com/mnews/article/023/0003799132?sid=104,
2023-11-13 09:31:36,"민형배 ""정치를 후지게 한 건 한동훈 같은 XX들""",https://n.news.naver.com/mnews/article/277/0005339660?sid=100,
2023-11-13 14:28:01,불법 정치자금 수수의혹 울산 이상헌 의원 검찰 송치,https://n.news.naver.com/mnews/article/082/0001241385?sid=102,
2023-11-15 18:00:13,[김미경의 정치네컷] 누가 더 후진가…진흙탕 싸움 도발한 송영길 vs 역공 한동훈,https://n.news.naver.com/mnews/article/029/0002837313?sid=100,
2023-11-15 18:01:05,"김성진 전 대변인, '서울메가시티' 정치쇼 중단 촉구",https://n.news.naver.com/mnews/article/079/0003834147?sid=102,
2023-11-14 12:03:06,"민주 ""국민의힘, 비리의혹검사 감싸기 혈안…민생 주력해야""",https://n.news.naver.com/mnews/article/003/0012208163?sid=100,
2023-11-13 10:42:27,"이종석 헌재소장 후보자 ""국민 신뢰, 정치적 중립성 바탕""",https://n.news.naver.com/mnews/article/003/0012205046?sid=102,
2023-11-15 11:38:01,이재명의 ‘횡재세’ 정치[오후여담],https://n.news.naver.com/mnews/article/021/0002605195?sid=110,
2023-11-15 17:13:07,[심윤희칼럼] 놈놈놈 … 정치권의 지겨운 나이 집착,https://n.news.naver.com/mnews/article/009/0005215537?sid=110,
2023-11-13 15:04:08,"여당, 송영길 '한동훈 어린놈 발언'에 ""정치사 욕되게 말고 자중해야""",https://n.news.naver.com/mnews/article/003/0012205975?sid=100,
2023-11-13 17:29:47,"""이준석·홍준표·김종인, 尹 전복세력""‥""정치 기본도 모르면서 헛된 망상""",https://n.news.naver.com/mnews/article/214/0001311554?sid=100,
2023-11-15 12:04:09,"우크라, 트럼프 '우크라 스캔들' 관련 정치인 반역 혐의 기소",https://n.news.naver.com/mnews/article/003/0012210671?sid=104,
2023-11-11 11:56:16,"송영길 '어린놈' 비난에 한동훈 ""운동권했다고…정치 후지게해""",https://n.news.naver.com/mnews/article/001/0014323863?sid=102,
2023-11-15 05:00:00,"[오늘의 주요일정] 정치·정부(15일, 수)",https://n.news.naver.com/mnews/article/421/0007176071?sid=100,
2023-11-14 18:06:12,[김건수의 지금 여기] 통합의 정책? 분열의 정치!,https://n.news.naver.com/mnews/article/082/0001241691?sid=110,
2023-11-15 17:17:04,"소설가 배명훈 ""외교부 의뢰로 2년간 '화성의 행성정치' 보고서 완성""",https://n.news.naver.com/mnews/article/003/0012211780?sid=103,
