Time,Title,Network,URL
2023.10.07.,"北, 축구 중계에 등장한 '괴뢰'…우리나라 법에도 있다?[노컷체크]",노컷뉴스,https://n.news.naver.com/article/052/0001944552
2023.10.06.,"[사실은] ""후쿠시마산 수산물 659톤 수입""…확인해보니",SBS,https://n.news.naver.com/article/079/0003820519
2023.10.06.,[사실확인] 불법 전단 배포만 해도 처벌?...단속부터 어려워,MBN,https://n.news.naver.com/article/055/0001095298
2023.10.06.,"윤석열 검찰'도 인정했는데, ""블랙리스트 없었다""는 유인촌 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/057/0001772676
2023.10.05.,[팩트체크]반도체 감산 한창인데 생산·출하 늘었다는 통계청 진실은?,아시아경제,https://n.news.naver.com/article/047/0002408611
2023.10.05.,"[팩트파인더] ""40억 vs 1000억"" 강서구청장 보선 비용 논란, 사실은?",한국일보,https://n.news.naver.com/article/277/0005322316
2023.10.04.,[팩트체크] 포털 장악한 '중국 응원'…해외 IP 단 두 개로 조작?,JTBC,https://n.news.naver.com/article/469/0000763549
2023.10.04.,[따져보니] 남은 사형수 59명…집행 논란,TV조선,https://n.news.naver.com/article/437/0000361862
2023.10.04.,"대규모 아파트 단지 입주로 인한 인근 전셋값 하락, 사실이다. [팩트체크]",매일경제,https://n.news.naver.com/article/448/0000430318
2023.10.03.,[따져보니] 중국 응원 90%…여론 조작? 과민 반응?,TV조선,https://n.news.naver.com/article/009/0005194117
2023.10.02.,"[따져보니] 이재명 압수수색 공방…민주당 ""확인된 것만 376회"" vs 檢 ""36회 뿐""",TV조선,https://n.news.naver.com/article/448/0000430158
2023.09.30.,임시공휴일에 모든 직장인이 쉴 수 없는 이유는?[노컷체크],노컷뉴스,https://n.news.naver.com/article/448/0000430032
2023.09.30.,[팩트체크] 약국에 약이 부족해 약사들끼리 품앗이를 한다?,연합뉴스,https://n.news.naver.com/article/079/0003818233
2023.09.29.,日'수입금지' 지역서 만들었지만 '수산가공품'은 안전하다?[노컷체크],노컷뉴스,https://n.news.naver.com/article/001/0014229478
2023.09.28.,"수입금지 지역' 日수산물, 가공품으로 국내 수입됐을까[노컷체크]",노컷뉴스,https://n.news.naver.com/article/079/0003818073
2023.09.28.,[팩트체크] 일본군 장교 친일행위 판정기준은 독립군 토벌이다?,연합뉴스,https://n.news.naver.com/article/079/0003817906
2023.09.27.,[팩트체크] 아이폰15 한국 출시 가격은 하락한 환율이 반영 안 됐다?,이데일리,https://n.news.naver.com/article/001/0014226631
2023.09.25.,"[팩트체크] 119 구급차, 내가 원하는 병원으로 이송 요구할 수 있다?",YTN,https://n.news.naver.com/article/018/0005585410
2023.09.25.,[팩트체크] 국내 지방 공항은 비행기 대신 파리 날린다?,YTN,https://n.news.naver.com/article/052/0001940465
2023.09.25.,[팩트체크] 탕후루가 카페 음료보다 칼로리가 낮다고?,YTN,https://n.news.naver.com/article/052/0001940464
2023.09.25.,"[사실확인]""촬영하니 돌아가세요""…무조건 따라야 한다?",MBN,https://n.news.naver.com/article/052/0001940463
2023.09.24.,[팩트와이] '적자·부채' 주식은 '백지신탁' 불가능?...김행 해명 따져보니,YTN,https://n.news.naver.com/article/057/0001770804
2023.09.23.,"화려하지 않은 버섯'은 독 없다?…""수수해도 치명"" 야생 버섯 주의[노컷체크]",노컷뉴스,https://n.news.naver.com/article/052/0001939769
2023.09.22.,"[사실은] ""망고 없네"" 65억 소송…한국 스타벅스 어떨까",SBS,https://n.news.naver.com/article/079/0003815944
2023.09.22.,[팩트체크] R&D 투자 규모가 3% 대가 된 건 드문 일?,이데일리,https://n.news.naver.com/article/055/0001091990
2023.09.22.,"""개식용금지법=김건희법, 동물보호단체 먼저 사용"", 거짓 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/018/0005581529
2023.09.22.,[팩트체크] 내년도 주요 R&D 예산 14% 삭감…나눠먹기·비효율 줄였다?,더팩트,https://n.news.naver.com/article/047/0002407331
2023.09.21.,“상관 명령이 명백한 불법 아니면 절대 복종” 판례[팩트체크],문화일보,https://n.news.naver.com/article/629/0000240217
2023.09.21.,세슘 우럭' '방사능 쥐노래미' 나오는데... 삼중수소 인체 농축 안된다? [오마이팩트],오마이뉴스,https://n.news.naver.com/article/021/0002595504
2023.09.21.,커피-바나나 괴담 들고나온 윤석열 정부의 오염수 대처 수준 [오마이팩트],오마이뉴스,https://n.news.naver.com/article/047/0002407147
2023.09.20.,"[따져보니] 윤미향, 뒤집힌 항소심 판결…이유는?",TV조선,https://n.news.naver.com/article/047/0002407146
2023.09.20.,[알고보니] 해외도 언론사 상대로 가짜뉴스 단속 강화 중?,MBC,https://n.news.naver.com/article/448/0000428616
2023.09.20.,"[사실은] 중심에 일본, 한국은 '빙빙' 위성국가? 홈피 이미지, 외교부에 물어봤더니…",SBS,https://n.news.naver.com/article/214/0001301205
2023.09.20.,"내달 2일 임시공휴일, 경제효과 5조 예상… 일각 “해외여행 수요탓 내수진작 미미”[팩트체크]",문화일보,https://n.news.naver.com/article/055/0001091337
2023.09.19.,[따져보니] 국감 전 출판기념회 '봇물'…법 개정 손 놓은 국회,TV조선,https://n.news.naver.com/article/021/0002595251
2023.09.19.,"美 대선때 ‘개표기 조작’ 음모론 퍼뜨린 폭스, 1조원 배상[팩트체크]",문화일보,https://n.news.naver.com/article/448/0000428454
2023.09.18.,[따져보니] 정책 발표 때마다 '출렁'…이유는 외압?,TV조선,https://n.news.naver.com/article/021/0002595031
2023.09.18.,"[사실은] 초밥 먹기 전 ""잠시만요""…방사능 측정기 효과는",SBS,https://n.news.naver.com/article/448/0000428274
2023.09.18.,[사실확인] 직장어린이집 벌금을 내는 게 더 저렴하다? 확인해 보니...,MBN,https://n.news.naver.com/article/055/0001090735
2023.09.17.,[따져보니] 퇴임 앞두고 '최강욱 재판' 연 김명수 속내는?,TV조선,https://n.news.naver.com/article/057/0001769290
